Innehåll,Videotitel,Publiceringstid för video,Längd,Visningar,Visningstid (timmar),Prenumeranter,Exponeringar,Klickfrekvens för exponeringar (%)
fR3TG3yZZSY,Decision Trees with Scikit Learn  Hands On Coding Session,"Aug 4, 2025",1386,28,1.5492,2,1885,1.11
gzAklBTtxBk,Data driven youtuber part 1 (coding),"Sep 20, 2024",561,19,0.6423,0,280,2.5
uezbqIvvQBk,Understanding K Means Clustering  An Intuitive Guide to Unsupervised Learning,"Aug 7, 2025",538,19,0.4275,0,1880,0.69
bzTptHrZOKk,python conventions,"Jun 18, 2025",701,16,0.8561,0,791,1.14
lfxUmiaNgXM,Enkla andragradsekvationer Ma2,"Feb 14, 2020",221,15,0.3944,0,128,0
Ys1zPifbuyM,Data storytelling for explanatory data analysis using matplotlib,"Aug 18, 2024",2166,14,1.6681,0,249,2.81
f_BBLXUytaU,Streamlit intro for frontend,"Aug 31, 2024",2139,14,0.4083,0,212,1.42
IqV75ndo-b4,Kvadreringsregler och konjugatregler härledningar,"Jun 9, 2019",468,13,0.2894,0,45,17.78
fh5rZY4AVOI,python summary part4 (coding),"Aug 17, 2024",1837,13,0.9651,0,152,1.97
sUOoGio7qd8,Stocks API data processing,"Mar 19, 2024",2531,13,0.6093,0,134,7.46
1QPsShNoX2k,Understanding Regularization: Balancing Bias and Variance,"Jul 24, 2025",636,12,0.6613,0,855,0.82
Y1_P4ZMGLGo,python summary part3 (coding),"Aug 17, 2024",2038,11,1.218,0,147,0.68
fNOUYJzxNTg,python summary part 5,"Aug 18, 2024",1854,10,1.1446,0,155,1.29
nBFPUAAWP4A,Chatbot using eden AI API and streamlit frontend part 2,"Sep 8, 2024",1108,9,0.0901,0,248,1.61
twlOySku1PM,python summary part2 (coding),"Aug 17, 2024",1513,9,0.5989,0,160,1.25
EWd2x3d_7hg,Data driven youtuber part 5 (coding),"Sep 20, 2024",1124,8,0.1202,0,258,1.55
4QyyCbLBAWk,python summary part6,"Aug 18, 2024",1667,7,0.9601,0,161,0.62
WCMH4e-LoRA,Gränsvärden matte 3C,"Sep 22, 2019",424,7,0.0845,0,172,2.91
rt9HUsJSbbY,Data processing repetition,"Aug 18, 2024",889,6,0.1485,0,163,0
39RfkE5M6QQ,Data driven youtuber part 2 (coding),"Sep 20, 2024",910,4,0.0223,0,251,0.8
7Dqqbo06j5Q,Andragradsfunktionens graf,"Feb 14, 2020",231,4,0.0663,0,128,2.34
2xqlDLCK6CQ,PQ formeln,"Feb 14, 2020",278,3,0.0113,0,121,0.83
ie87SBfco9A,Data driven youtuber part 3 (coding),"Sep 20, 2024",1064,3,0.0182,0,244,0.41
GOSbxHuOs8M,Tillämpningar andragradsekvationer,"Feb 14, 2020",211,2,0.0081,0,126,0.79
jz0kthMmsCg,Derivera exponentialfunktion Ma3C,"Nov 8, 2019",260,2,0.0014,0,117,0.85
rFlmpvuORB4,Andragradsfunktion   algebra,"Feb 14, 2020",396,2,0.004,0,125,0.8
eS8Ffveg6kE,Data driven youtuber part 4 (coding),"Sep 20, 2024",524,1,0.0024,0,249,0
